snr,tau,delta_sep,mas
10.57211685180664,2.1150000000381,59.9502242143691,35.250000000635
9.408525466918945,3.905625000042,83.52320376699628,65.0937500007
12.01378059387207,4.3418750000312,18.86818260570039,72.36458333385333
15.895072937011719,-0.6018749999687001,1.5470721032192465,-10.031249999478336
13.05379867553711,-0.9168749999701999,15.666935350676455,-15.281249999503332
32.325565338134766,-2.2620192307632307,77.86979153644461,-37.700320512720516
33.842315673828125,-2.2768749999725997,16.7490782722234,-37.94791666621
26.22516632080078,-0.13749999996919998,17.864222956833515,-2.291666666153333
19.83574867248535,3.4500000000306,49.399534924870885,57.50000000051
38.32636260986328,-1.8549999999684998,15.327957982866256,-30.916666666141666
16.4716854095459,-3.3299999999686,34.599248190501285,-55.499999999476664
14.994054794311523,3.0400000000327,16.87822691812987,50.66666666721167
